Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission	DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity	Range	Cunning	Weapons	Strength	Shields	gametext	HoF
"Investigate Alleged Murder"	"CL"	"st2e-en10049"	"U"	"Y"	"10U049"	"Mission"	"0"	"P"	"P"	"2"	"30"	"D"	"[Fed]"	""	""	""	""	""	"Diplomacy, Law, Officer, and Integrity>27"	""	""	""	""	""	""	"You may attempt and complete this mission using your [NA] personnel with these requirements: Anthropology, Security, Transporters, and Strength>28."	"Y"
"Investigate Unknown Element"	"CL"	"st2e-en10050"	"U"	"Y"	"10U050"	"Mission"	"0"	"P"	"P"	"2"	"30"	"D"	"Any affiliation (except [Bor]) may attempt this mission."	""	""	""	""	""	"Anthropology, Leadership, Officer, and Integrity>27 or Exobiology, Geology, Science, and Cunning>30"	""	""	""	""	""	""	""	"Y"
"Kathryn Janeway Clever Captain"	"CL"	"st2e-en10069"	"C"	"Y"	"10C069"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human"	"Diplomacy Engineer 2 Leadership Science"	"6"	"6"	"6"	"6"	"5"	"5"	""	"Y"
"Seven of Nine Reclaimed Drone"	"CL"	"st2e-en10081"	"C"	"Y"	"10C081"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Borg"	"Astrometrics Engineer Exobiology Physics Programming"	"5"	"5"	"6"	"6"	"6"	"6"	""	"Y"
"A Pattern of Lies"	"CL"	"STVE-EN10001ab"	"C"	"N"	"10C001"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Unless at least one of them is a different species than the others, all three are stopped. Otherwise, choose one of those personnel to be stopped."	"Y"
"Making It Work"	"CL"	"st2e-en10029"	"C"	"N"	"10C029"	"Event"	"2"	""	""	""	""	""	""	""	""	"Replicate - Discard a card from hand."	""	""	""	""	""	""	""	""	""	"To play this event, you must command three [Voy] personnel. Remove a damage card from your ship. Destroy this event."	"Y"
"B'Elanna Torres Straightforward Engineer"	"CL"	"st2e-en10061"	"U"	"Y"	"10U061"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human/Klingon"	"2 Engineer Physics Programming Science Treachery"	"5"	"5"	"6"	"6"	"7"	"7"	"Order - If this personnel is aboard your ship, discard a card from hand to remove a Damage card from that ship. You may do this only once each turn."	"Y"
"A Long Road"	"CL"	"st2e-en10038"	"C"	"N"	"10C038"	"Interrupt"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this interrupt, you must command a Navigation personnel. Order - Discard a card from hand to take up to two Pursuit cards from your discard pile into hand."	"Y"
"Warp Speed Transfer"	"CL"	"st2e-en10045"	"R"	"N"	"10R045"	"Interrupt"	"0"	""	""	""	""	""	""	""	""	"Pursuit."	""	""	""	""	""	""	""	""	""	"While your personnel aboard a ship are facing a dilemma, move your staffed ship to that mission from a different mission and place one of your personnel aboard that ship aboard the ship attempting the mission. That personnel joins the mission attempt."	"Y"
"Matthew Dougherty Misguided Admiral"	"CL"	"ST2E-EN10075a"	"R"	"Y"	"10R075"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][E]"	""	"Admiral."	""	"Human"	"Diplomacy Leadership Officer Treachery"	"3"	"3"	"6"	"6"	"5"	"5"	"Order - Destroy your staffed [E] ship or your staffed [TNG] ship with two or more staffing icons to make all your personnel attributes +3 until the end of this turn. You may do this only once each turn."	"Y"
"Drake Voyager Shuttle"	"CL"	"st2e-en10108"	"C"	"Y"	"10C108"	"Ship"	"3"	""	""	""	""	""	"Federation"	"[Voy]"	"[Stf]"	""	"Type-8 Shuttlecraft"	""	""	"3"	"3"	"3"	"3"	"3"	"3"	"While you do not command a headquarters mission, you may play this ship at {Caretaker's Array} or at the same mission as your {U.S.S. Voyager}. While you command six or more personnel aboard this ship, it is Range -2. While you command a Temporal event in your core, this ship is Range +3."	"Y"
"Chameloid Chicanery"	"CL"	"st2e-en10004"	"C"	"N"	"10C004"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel to be stopped. If your opponent has an Infiltrator at this mission, randomly select a personnel to be killed."	"Y"
"Vosk Temporal Fanatic"	"CL"	"ST2E-EN10100a"	"U"	"Y"	"10U100"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Cmd][Fut]"	""	""	""	"Na'kuhl"	"Astrometrics Engineer Exobiology Leadership Officer 2 Treachery"	"1"	"1"	"6"	"6"	"5"	"5"	"For each Temporal event in your core, this personnel is attributes +1 (limit +4). When you do not command a Temporal card, place this personnel in his owner's discard pile."	"Y"
"Columbia The Second Warp Five Ship"	"CL"	"st2e-en10120"	"R"	"Y"	"10R120"	"Ship"	"4"	""	""	""	""	""	"Starfleet"	"[Pa]"	"[Cmd]"	""	"NX Class"	""	""	"6"	"6"	"5"	"5"	"5"	"5"	"While the first mission you completed this game was a space mission, this ship is attributes +1. While a personnel aboard this ship is facing a dilemma, you may discard a card from hand to have that personnel gain Astrometrics or Science until the end of the mission attempt."	"Y"
"Thermokinetic Explosion"	"CL"	"st2e-en10019"	"R"	"N"	"10R019"	"Dilemma"	"3"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Astrometrics, Navigation, and Cunning>30 or total ship's attributes>21, place this dilemma on your ship and all your personnel are stopped. Damage - At the start of each of your turns, choose an opponent. That opponent may download a Damage card and place it on this ship."	"Y"
"New Discovery"	"CL"	"st2e-en10030"	"U"	"N"	"10U030"	"Event"	"2"	""	""	""	""	""	""	""	""	"Pursuit."	""	""	""	""	""	""	""	""	""	"Plays in your core. When your ship moves from a mission where an opponent has a ship, you may examine the top two dilemmas of that opponent's dilemma pile and replace them in any order."	"Y"
"Preventative Ritual"	"CL"	"st2e-en10041"	"U"	"N"	"10U041"	"Interrupt"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this interrupt, you must command three [Rom] personnel. Order - Reveal the top four cards of an opponent's deck and place one of those cards on the bottom of that deck. Replace the remaining cards in any order on top of that deck."	"Y"
"Stadi Focused"	"CL"	"st2e-en10082"	"C"	"Y"	"10C082"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Betazoid"	"Astrometrics Geology 2 Navigation Telepathy Transporters"	"6"	"6"	"6"	"6"	"5"	"5"	"When you play this personnel, you may make your [Voy] ship Range +2 until the end of the turn."	"Y"
"U.S.S. Yangtzee Kiang Modified Transport"	"CL"	"st2e-en10113"	"R"	"Y"	"10R113"	"Ship"	"3"	""	""	""	""	""	"Federation"	"[DS9]"	"[Stf]"	""	"Danube Class"	""	""	"3"	"3"	"3"	"3"	"3"	"3"	"While you command eight or more personnel aboard this ship, it is Range -3. When this ship is about to move between your headquarters mission and a non-headquarters mission, subtract 1 from the Range required. Order - Discard two events from hand to make this ship Range +2 until the end of this turn."	"Y"
"Confessions of a Captain"	"CL"	"st2e-en10024"	"U"	"N"	"10U024"	"Event"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Plays in your core. While your [Fed][Voy] Leadership personnel is attempting a mission, you may destroy this event to make him or her gain a skill from a [Fed][Voy] personnel present until the end of this turn."	"Y"
"Hoshi Sato Empress *AP"	"AP"	"ST2E0AP008"	"AP"	"Y"	"0AP008"	"Personnel"	"2"	""	""	""	""	""	"Starfleet"	"[Pa][AU]"	""	""	""	"Human"	"Anthropology Diplomacy Officer Programming 2 Treachery"	"2"	"2"	"6"	"6"	"5"	"5"	""	"Y"
"Charvanek Fleet Commander *AP"	"AP"	"ST2E0AP007"	"AP"	"Y"	"0AP007"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd][Pa]"	""	""	""	"Romulan"	"Archaeology Diplomacy Officer Physics Science"	"5"	"5"	"6"	"6"	"5"	"5"	""	"Y"
"Compassionate Interference"	"CL"	"st2e-en10005"	"U"	"N"	"10U005"	"Dilemma"	"2"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel to be stopped. Unless you reveal a Biology personnel from your hand or reveal a Geology personnel from your hand, that personnel is killed instead."	"Y"
"Hull Breach"	"CL"	"st2e-en10008"	"C"	"N"	"10C008"	"Dilemma"	"2"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel to be stopped. Unless you reveal an Astrometrics personnel from your hand or reveal a Navigation personnel from your hand, that personnel is killed instead."	"Y"
"Last Gasp"	"CL"	"st2e-en10011"	"U"	"N"	"10U011"	"Dilemma"	"3"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select a personnel to be stopped. Unless you reveal a Leadership personnel from your hand or reveal an Officer personnel from your hand, that personnel is killed instead."	"Y"
"Parallel Course"	"CL"	"st2e-en10031"	"R"	"Y"	"10R031"	"Event"	"1"	""	""	""	""	""	""	""	""	"Pursuit."	""	""	""	""	""	""	""	""	""	"Plays in your core. When your opponent moves from a mission where you have a staffed ship, you may take a dilemma from beneath that mission and return it to its owner's dilemma pile."	"Y"
"Basso Tromac Smug Subordinate"	"CL"	"st2e-en10053"	"R"	"Y"	"10R053"	"Personnel"	"4"	""	""	""	""	""	"Bajoran"	"[Pa]"	""	""	""	"Bajoran"	"Biology Exobiology Law Treachery"	"3"	"3"	"5"	"5"	"6"	"6"	"While this personnel is attempting a mission, you may remove a card in your discard pile from the game to add its cost to this personnel's attributes until the end of the mission attempt. You may do this only once each turn."	"N"
"Grebnedlog Pakled Captain"	"CL"	"st2e-en10092"	"C"	"Y"	"10C092"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[Cmd]"	""	"Commander: Mondor."	""	"Pakled"	"Exobiology Honor Leadership Officer"	"6"	"6"	"6"	"6"	"4"	"4"	"While present with a non-[NA] personnel, this personnel loses Honor and gains Transporters and Treachery."	"Y"
"Lal Beloved"	"CL"	"st2e-en10094"	"R"	"Y"	"10R094"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	""	""	""	""	"Android"	"Programming"	"5"	"5"	"5"	"5"	"5"	"5"	"While this personnel is attempting a mission, you may reveal three Androids from hand to make her attributes +4 and gain any two skills until the end of the turn. If you do this, she is killed at the end of this turn. You may only do this once each turn."	"Y"
"D'Tan Curious Youth"	"CL"	"st2e-en10101"	"C"	"Y"	"10C101"	"Personnel"	"3"	""	""	""	""	""	"Romulan"	""	""	"Dissident."	""	"Romulan"	"Anthropology Archaeology Geology Honor Science"	"7"	"7"	"4"	"4"	"4"	"4"	"When this personnel is stopped by a dilemma, choose an opponent to discard the top card of his or her deck."	"Y"
"Charles Tucker III Chief Engineer"	"CL"	"st2e-en10103"	"R"	"Y"	"10R103"	"Personnel"	"2"	""	""	""	""	""	"Starfleet"	"[Cmd][Pa]"	""	""	""	"Human"	"Archaeology Engineer Programming Transporters"	"6"	"6"	"6"	"6"	"6"	"6"	"While this personnel is facing a dilemma and the first mission you completed this game was a space mission, you may stop this personnel to replace all levels of any one skill in that dilemma's requirements with 2 Engineer. You may do this only once each turn."	"Y"
"Trager Patrol Ship"	"CL"	"st2e-en10106"	"R"	"Y"	"10R106"	"Ship"	"6"	""	""	""	""	""	"Cardassian"	""	"[Cmd][Stf][Stf]"	""	"Galor Class"	""	""	"8"	"8"	"8"	"8"	"8"	"8"	"When this ship is about to move from an opponent's mission, subtract 2 from the Range required."	"Y"
"Krayton Trade Envoy"	"CL"	"st2e-en10114"	"R"	"Y"	"10R114"	"Ship"	"6"	""	""	""	""	""	"Ferengi"	""	"[Cmd][Cmd][Stf][Stf]"	""	"D'Kora Class"	""	""	"8"	"8"	"9"	"9"	"7"	"7"	"Order - If this ship has its Commander aboard it, discard a Rule card from your hand to add the discarded card's cost to the Range of this ship. You may do this only once each turn."	"Y"
"Baxial Salvage Ship"	"CL"	"st2e-en10117"	"C"	"Y"	"10C117"	"Ship"	"3"	""	""	""	""	""	"Non-Aligned"	"[Voy]"	"[Stf]"	""	"Drexia Class"	""	""	"5"	"5"	"4"	"4"	"5"	"5"	"While you do not command a headquarters mission, you may play this ship at {Caretaker's Array} or at the same mission as your {U.S.S. Voyager}. While you have six or more events in your discard pile, this ship is attributes +3."	"Y"
"Armed Search Party"	"CL"	"st2e-en10003"	"R"	"N"	"10R003"	"Dilemma"	"4"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Randomly select three personnel. Unless they have Strength>17 or you have a non-Hand Weapon equipment, for each headquarters mission you command, randomly select one of those personnel to be placed in your opponent's brig."	"Y"
"Difficult Rescue"	"CL"	"st2e-en10007"	"C"	"N"	"10C007"	"Dilemma"	"3"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Shields + remaining Range>the number of personnel attempting this mission, randomly select a personnel to be killed and all your other personnel are stopped."	"Y"
"Psionic Attack"	"CL"	"st2e-en10014"	"R"	"N"	"10R014"	"Dilemma"	"3"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Medical and Science or 3 Security, randomly select a personnel to place on the bottom of his or her owner's deck. If that personnel has Anthropology, randomly select an additional personnel and place that personnel on the bottom of his or her owner's deck."	"Y"
"Sabotaged Reactor"	"CL"	"st2e-en10015"	"C"	"N"	"10C015"	"Dilemma"	"2"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Astrometrics, Engineer, and Navigation or Leadership, Officer, and Cunning>28, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is Range -2."	"Y"
"Joint Operation Drills"	"CL"	"st2e-en10010"	"C"	"N"	"10C010"	"Dilemma"	"2"	"S"	"S"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Your opponent names a skill. For each headquarters mission you command, randomly select a person who has that skill to be stopped."	"Y"
"Stand-Off"	"CL"	"st2e-en10016"	"C"	"N"	"10C016"	"Dilemma"	"3"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Anthropology, Diplomacy, and Honor or Law, Security, and Strength>28, randomly select a Leadership personnel, place him or her in your opponent's brig, and all your other personnel are stopped."	"Y"
"Symbalene Blood Burn"	"CL"	"st2e-en10017"	"C"	"N"	"10C017"	"Dilemma"	"3"	"P"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have Biology, Exobiology, and Medical or Officer, Security, and Strength>28, randomly select four personnel to be stopped and place this dilemma on your ship at this mission. Damage - At the start of each turn, randomly select a personnel on this ship to be killed."	"Y"
"Temporal Conduit"	"CL"	"st2e-en10018"	"C"	"N"	"10C018"	"Dilemma"	"2"	"D"	"D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unless you have 2 Diplomacy and Leadership or Programming, Science, and Transporters, your opponent places this dilemma on one of your completed missions. At the end of each of your turns, your opponent may place a dilemma from beneath one of your other missions beneath this mission."	"Y"
"Under Pressure"	"CL"	"st2e-en10020"	"U"	"N"	"10U020"	"Dilemma"	"1"	"S"	"S"	""	""	""	""	""	""	"Consume: 1."	""	""	""	""	""	""	""	""	""	"Unless you have Astrometrics, Engineer, and Navigation or Biology, Medical, and Science, randomly select a personnel to be killed. You may randomly select two personnel to be stopped to prevent this."	"Y"
"Federation Compression Rifle"	"CL"	"st2e-en10021"	"C"	"N"	"10C021"	"Equipment"	"1"	""	""	""	""	""	""	""	""	"Hand Weapon."	""	""	""	""	""	""	""	""	""	"While in combat, each of your [Voy] personnel present is Strength +1. While facing a dilemma at a [DQ] mission, each [Voy] Security personnel present is Strength +1."	"Y"
"Dark Pursuit"	"CL"	"st2e-en10025"	"R"	"Y"	"10R025"	"Event"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this event, you must command three [Rom] personnel. Plays in your core. When the player on your right's personnel begin a mission attempt, you may draw one extra dilemma for each Pursuit card you command."	"Y"
"Political Putsch"	"CL"	"st2e-en10032"	"R"	"N"	"10R032"	"Event"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this event, you must command two Treachery [Baj] personnel. Plays in your core. When you play this event, remove all events in each player's discard pile from the game. When an event is played, prevent that event and remove it from the game unless that event's owner has an event in his or her discard pile."	"Y"
"Rule of Acquisition #16"	"CL"	"st2e-en10033"	"R"	"N"	"10R033"	"Event"	"0"	""	""	""	""	""	""	""	""	"Rule."	""	""	""	""	""	""	""	""	""	"To play this event, you must command three [Fer] personnel. Plays in your core. At the start of each of your turns, you may destroy this event to spend an additional counter this turn for each card on this event. Order - Stop your [Fer] personnel to place a card from hand on this event."	"Y"
"Modified Tricorder"	"CL"	"st2e-en10022"	"U"	"N"	"10U022"	"Equipment"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"When your personnel present are facing a dilemma at a [DQ] mission, you may discard a card from hand to make each [Voy] Biology and each [Voy] Science personnel present attributes +1 until the end of that dilemma."	"Y"
"Make a Run for It"	"CL"	"st2e-en10028"	"C"	"N"	"10C028"	"Event"	"1"	""	""	""	""	""	""	""	""	"Pursuit."	""	""	""	""	""	""	""	""	""	"Plays in your core. If your opponent moves from a mission where you have a ship that has its Commander aboard, place this event on that ship. When your opponent's personnel attempt this mission, you may draw an extra dilemma and spend one extra on dilemmas."	"Y"
"Starting Over"	"CL"	"st2e-en10034"	"U"	"N"	"10U034"	"Event"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Count the number of cards in your hand and discard your hand to draw an equal number of cards. Then, if you command a Borg personnel, draw two additional cards. Destroy this event."	"Y"
"The Spirit of Kahless"	"CL"	"st2e-en10037"	"R"	"N"	"10R037"	"Event"	"2"	""	""	""	""	""	""	""	""	"Assault."	""	""	""	""	""	""	""	""	""	"Plays in your core. Order - Destroy this event to begin combat involving your [Kli] Honor personnel. If you win, the opponent on your left places the top two dilemmas of his or her dilemma pile beneath one of your non-headquarters missions."	"Y"
"And Raise You"	"CL"	"st2e-en10039"	"C"	"N"	"10C039"	"Interrupt"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"To play this interrupt, you must command three [Voy] personnel. When your personnel begin a mission attempt, make an opponent reveal the top three cards of his or her dilemma pile. Then replace those dilemmas in the same order. You may then make that opponent shuffle his or her dilemma pile."	"Y"
"Fajo's Menagerie"	"CL"	"st2e-en10040"	"C"	"N"	"10C040"	"Interrupt"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Order - Download an equipment card, then draw a card for each non-Hand Weapon equipment you command."	"Y"
"Kira Nerys Blockade Commander"	"CL"	"st2e-en10054"	"U"	"Y"	"10U054"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	"Commander: Kitara."	""	"Bajoran"	"Diplomacy Leadership Navigation Officer"	"6"	"6"	"6"	"6"	"6"	"6"	"While this personnel is aboard your {Kitara}, that ship is attributes +2."	"Y"
"Zayra Bigoted Witness"	"CL"	"st2e-en10055"	"C"	"Y"	"10C055"	"Personnel"	"1"	""	""	""	""	""	"Bajoran"	"[Stf]"	""	""	""	"Bajoran"	"Anthropology Archaeology Physics Transporters Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"While this personnel is present with your non-[Baj] personnel, he cannot use his skills."	"Y"
"Baxter Wandering Security Officer"	"CL"	"st2e-en10062"	"U"	"Y"	"10U062"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Archaeology Geology Security"	"5"	"5"	"5"	"5"	"6"	"6"	"When this personnel is placed in his owner's discard pile from play, you may take an event from your discard pile into your hand."	"Y"
"Joe Carey Next In Line"	"CL"	"st2e-en10068"	"C"	"Y"	"10C068"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Engineer Physics Programming Treachery"	"4"	"4"	"6"	"6"	"5"	"5"	"While this personnel is attempting a mission, if there are three or less dilemmas beneath that mission, he is attributes +1."	"Y"
"Macet Skeptical Commander"	"CL"	"st2e-en10058"	"R"	"Y"	"10R058"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd]"	""	"Commander: Trager. Gul."	""	"Cardassian"	"Astrometrics Leadership Officer Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"While this personnel is aboard your {Trager} and this personnel is facing a dilemma, you may meet Diplomacy and Honor requirements of that dilemma using Treachery instead."	"Y"
"Umat'Adan Eager Fifth"	"CL"	"st2e-en10059"	"C"	"Y"	"10C059"	"Personnel"	"3"	""	""	""	""	""	"Dominion"	"[Stf]"	""	"Alpha."	""	"Jem'Hadar"	"Astrometrics Biology Navigation Science"	"5"	"5"	"5"	"5"	"8"	"8"	"While this personnel is facing a dilemma, return your non-Alpha Jem'Hadar present to its owner's hand to make this personnel attributes +2 until the end of that dilemma."	"Y"
"Andreas Colter"	"CL"	"st2e-en10060"	"C"	"N"	"10C060"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Officer Programming Security"	"5"	"5"	"5"	"5"	"6"	"6"	"While this personnel is facing a dilemma, each of your Security personnel present is Strength +1."	"Y"
"Cavit Apprehensive First Officer"	"CL"	"st2e-en10064"	"U"	"Y"	"10U064"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human"	"Astrometrics Leadership Officer Security"	"5"	"5"	"5"	"5"	"6"	"6"	"While this personnel is attempting a [DQ] mission, you may make him attributes +3 until the end of the turn. If you do this and fail this mission attempt, kill this personnel. Otherwise he is stopped. You may do this only once each turn."	"Y"
"Kenneth Dalby Insubordinate Crewman"	"CL"	"st2e-en10071"	"U"	"Y"	"10U071"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Engineer Leadership Programming Security Treachery"	"4"	"4"	"5"	"5"	"6"	"6"	"At the start of each of your turns, you may examine the top card of an opponent's deck. You may choose to place that card on the bottom of its owner's deck."	"Y"
"Kosinski Arrogant Engineer"	"CL"	"st2e-en10072"	"U"	"Y"	"10U072"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG]"	""	""	""	"Human"	"Astrometrics Engineer Navigation Physics Programming Science Transporters"	"5"	"5"	"7"	"7"	"5"	"5"	"While this personnel is facing a dilemma, he is Cunning -2 and loses Astrometrics and Navigation."	"Y"
"Larson Security Team Member"	"CL"	"st2e-en10073"	"C"	"Y"	"10C073"	"Personnel"	"1"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Archaeology Geology Physics Science Security Transporters"	"6"	"6"	"5"	"5"	"5"	"5"	"When your [Voy] personnel present is stopped, stop this personnel."	"Y"
"Lyndsay Ballard Back From the Dead"	"CL"	"STVE-EN10074abc"	"C"	"Y"	"10C074"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Kobali"	"Astrometrics Honor Navigation Physics Programming Science"	"7"	"7"	"5"	"5"	"5"	"5"	"While this personnel is facing the last dilemma on your opponent's dilemma stack, you may kill her to make each [Voy] personnel present attributes +1 until the end of this turn."	"Y"
"Marie Kaplan Observant Officer"	"CL"	"st2e-en10076"	"C"	"Y"	"10C076"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Archaeology Medical Science Transporters"	"6"	"6"	"6"	"6"	"5"	"5"	"While this personnel is at a [DQ] mission, she gains Biology and Medical."	"Y"
"Marquay"	"CL"	"st2e-en10077"	"C"	"N"	"10C077"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human"	"Engineer Exobiology Security Transporters Treachery"	"5"	"5"	"5"	"5"	"5"	"5"	"While this personnel is attempting a mission, if there are three or more dilemmas overcome beneath that mission, he gains Security and Treachery."	"Y"
"Rachel Garrett Displaced Captain"	"CL"	"st2e-en10078"	"U"	"Y"	"10U078"	"Personnel"	"0"	""	""	""	""	""	"Federation"	"[Cmd][E][Pa]"	""	"Commander: U.S.S. Enterprise-C."	""	"Human"	"Astrometrics Diplomacy Leadership Navigation Officer Transporters"	"5"	"5"	"5"	"5"	"5"	"5"	"When this personnel is stopped by a dilemma, randomly return one of your personnel present to his or her owner's hand."	"Y"
"Samantha Wildman First Mother on Voyager"	"CL"	"st2e-en10079"	"U"	"Y"	"10U079"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	""	""	"Human"	"Biology Exobiology Science"	"6"	"6"	"5"	"5"	"5"	"5"	"When you play this personnel, you may return a non-dilemma card on your Decay event to its owner's hand."	"Y"
"Seska Cardassian Agent"	"CL"	"st2e-en10080"	"U"	"Y"	"10U080"	"Personnel"	"1"	""	""	""	""	""	"Federation"	"[Stf][Voy]"	""	"Infiltrator."	""	"Cardassian"	"Engineer Intelligence Programming Science 2 Treachery"	"2"	"2"	"6"	"6"	"5"	"5"	"When this personnel uses a skill, your [Fed] Leadership personnel and your [Fed] Officer personnel are attributes -1 until the end of the turn."	"Y"
"Tom Paris Best Pilot You Could Have"	"CL"	"st2e-en10084"	"R"	"Y"	"10R084"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Human"	"Astrometrics Medical 2 Navigation"	"5"	"5"	"6"	"6"	"6"	"6"	"While this personnel is aboard a [Voy] ship, that ship is Range +2."	"Y"
"Tuvok Chief of Security"	"CL"	"st2e-en10085"	"R"	"Y"	"10R085"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][Voy]"	""	""	""	"Vulcan"	"Anthropology Biology Honor Law Leadership Officer Security"	"6"	"6"	"7"	"7"	"7"	"7"	"While this personnel is facing a dilemma that requires Officer or Security at a [DQ] mission, he is attributes +2 and gains Security."	"Y"
"Quark Little Green Man"	"CL"	"st2e-en10086"	"R"	"Y"	"10R086"	"Personnel"	"2"	""	""	""	""	""	"Ferengi"	"[Cmd][DS9]"	""	"Commander: Quark's Treasure."	""	"Ferengi"	"Acquisition Anthropology Physics"	"4"	"4"	"6"	"6"	"4"	"4"	"While this personnel is present with a [Pa] personnel, he is attributes +1 and gains Acquisition, Diplomacy, and Treachery."	"Y"
"Rata Profiteer"	"CL"	"st2e-en10087"	"C"	"Y"	"10C087"	"Personnel"	"2"	""	""	""	""	""	"Ferengi"	"[Stf]"	""	""	""	"Ferengi"	"Acquisition Officer Treachery"	"4"	"4"	"6"	"6"	"5"	"5"	"When you play this personnel, you may reveal the top card of your deck. If it is an event, you may draw two cards."	"Y"
"Tog Lecherous DaiMon"	"CL"	"st2e-en10088"	"U"	"Y"	"10U088"	"Personnel"	"2"	""	""	""	""	""	"Ferengi"	"[Cmd]"	""	"Commander: Krayton."	""	"Ferengi"	"Acquisition Officer Security Transporters"	"4"	"4"	"6"	"6"	"5"	"5"	"While you have four or more cards beneath your {Ferenginar}, this personnel is attributes +1 and gains Treachery."	"Y"
"Worf The Strongest Heart"	"CL"	"st2e-en10091"	"U"	"Y"	"10U091"	"Personnel"	"4"	""	""	""	""	""	"Klingon"	"[Cmd]"	""	""	""	"Klingon"	"2 Honor Leadership Officer Security"	"8"	"8"	"5"	"5"	"8"	"8"	"When your Host or Honor Klingon present is about to be stopped by a dilemma, you may discard an event from hand to prevent that."	"Y"
